Match ID,Season,Round,Home Team,Away Team,Home Coach,Away Coach
2020-2021_381,2020-2021,1,FUL,ARS,scott parker,mikel arteta
2020-2021_382,2020-2021,1,CRY,SOU,roy hodgson,ralph hasenhuttl
2020-2021_383,2020-2021,1,LIV,LEE,jurgen klopp,marcelo bielsa
2020-2021_384,2020-2021,1,WHU,NEW,david moyes,steve bruce
2020-2021_385,2020-2021,1,WBA,LEI,slaven bilic,brendan rodgers
2020-2021_386,2020-2021,1,TOT,EVE,jose mourinho,carlo ancelotti
2020-2021_387,2020-2021,1,SHU,WOL,chris wilder,nuno espirito santo
2020-2021_388,2020-2021,1,BHA,CHE,graham potter,frank lampard
2020-2021_389,2020-2021,1,BUR,MUN,sean dyche,ole gunnar solskjaer
2020-2021_390,2020-2021,1,MCI,AVL,pep guardiola,dean smith
2020-2021_391,2020-2021,2,EVE,WBA,carlo ancelotti,slaven bilic
2020-2021_392,2020-2021,2,LEE,FUL,marcelo bielsa,scott parker
2020-2021_393,2020-2021,2,MUN,CRY,ole gunnar solskjaer,roy hodgson
2020-2021_394,2020-2021,2,ARS,WHU,mikel arteta,david moyes
2020-2021_395,2020-2021,2,SOU,TOT,ralph hasenhuttl,jose mourinho
2020-2021_396,2020-2021,2,NEW,BHA,steve bruce,graham potter
2020-2021_397,2020-2021,2,CHE,LIV,frank lampard,jurgen klopp
2020-2021_398,2020-2021,2,LEI,BUR,brendan rodgers,sean dyche
2020-2021_399,2020-2021,2,AVL,SHU,dean smith,chris wilder
2020-2021_400,2020-2021,2,WOL,MCI,nuno espirito santo,pep guardiola
2020-2021_401,2020-2021,3,BHA,MUN,graham potter,ole gunnar solskjaer
2020-2021_402,2020-2021,3,CRY,EVE,roy hodgson,carlo ancelotti
2020-2021_403,2020-2021,3,WBA,CHE,slaven bilic,frank lampard
2020-2021_404,2020-2021,3,BUR,SOU,sean dyche,ralph hasenhuttl
2020-2021_405,2020-2021,3,SHU,LEE,chris wilder,marcelo bielsa
2020-2021_406,2020-2021,3,TOT,NEW,jose mourinho,steve bruce
2020-2021_407,2020-2021,3,MCI,LEI,pep guardiola,brendan rodgers
2020-2021_408,2020-2021,3,WHU,WOL,david moyes,nuno espirito santo
2020-2021_409,2020-2021,3,FUL,AVL,scott parker,dean smith
2020-2021_410,2020-2021,3,LIV,ARS,jurgen klopp,mikel arteta
2020-2021_411,2020-2021,4,CHE,CRY,frank lampard,roy hodgson
2020-2021_412,2020-2021,4,EVE,BHA,carlo ancelotti,graham potter
2020-2021_413,2020-2021,4,LEE,MCI,marcelo bielsa,pep guardiola
2020-2021_414,2020-2021,4,NEW,BUR,steve bruce,sean dyche
2020-2021_415,2020-2021,4,LEI,WHU,brendan rodgers,david moyes
2020-2021_416,2020-2021,4,SOU,WBA,ralph hasenhuttl,slaven bilic
2020-2021_417,2020-2021,4,ARS,SHU,mikel arteta,chris wilder
2020-2021_418,2020-2021,4,WOL,FUL,nuno espirito santo,scott parker
2020-2021_419,2020-2021,4,MUN,TOT,ole gunnar solskjaer,jose mourinho
2020-2021_420,2020-2021,4,AVL,LIV,dean smith,jurgen klopp
2020-2021_421,2020-2021,5,EVE,LIV,carlo ancelotti,jurgen klopp
2020-2021_422,2020-2021,5,CHE,SOU,frank lampard,ralph hasenhuttl
2020-2021_423,2020-2021,5,MCI,ARS,pep guardiola,mikel arteta
2020-2021_424,2020-2021,5,NEW,MUN,steve bruce,ole gunnar solskjaer
2020-2021_425,2020-2021,5,SHU,FUL,chris wilder,scott parker
2020-2021_426,2020-2021,5,CRY,BHA,roy hodgson,graham potter
2020-2021_427,2020-2021,5,TOT,WHU,jose mourinho,david moyes
2020-2021_428,2020-2021,5,LEI,AVL,brendan rodgers,dean smith
2020-2021_429,2020-2021,5,WBA,BUR,slaven bilic,sean dyche
2020-2021_430,2020-2021,5,LEE,WOL,marcelo bielsa,nuno espirito santo
2020-2021_431,2020-2021,6,AVL,LEE,dean smith,marcelo bielsa
2020-2021_432,2020-2021,6,WHU,MCI,david moyes,pep guardiola
2020-2021_433,2020-2021,6,FUL,CRY,scott parker,roy hodgson
2020-2021_434,2020-2021,6,MUN,CHE,ole gunnar solskjaer,frank lampard
2020-2021_435,2020-2021,6,LIV,SHU,jurgen klopp,chris wilder
2020-2021_436,2020-2021,6,SOU,EVE,ralph hasenhuttl,carlo ancelotti
2020-2021_437,2020-2021,6,WOL,NEW,nuno espirito santo,steve bruce
2020-2021_438,2020-2021,6,ARS,LEI,mikel arteta,brendan rodgers
2020-2021_439,2020-2021,6,BHA,WBA,graham potter,slaven bilic
2020-2021_440,2020-2021,6,BUR,TOT,sean dyche,jose mourinho
2020-2021_441,2020-2021,7,WOL,CRY,nuno espirito santo,roy hodgson
2020-2021_442,2020-2021,7,SHU,MCI,chris wilder,pep guardiola
2020-2021_443,2020-2021,7,BUR,CHE,sean dyche,frank lampard
2020-2021_444,2020-2021,7,LIV,WHU,jurgen klopp,david moyes
2020-2021_445,2020-2021,7,AVL,SOU,dean smith,ralph hasenhuttl
2020-2021_446,2020-2021,7,NEW,EVE,steve bruce,carlo ancelotti
2020-2021_447,2020-2021,7,MUN,ARS,ole gunnar solskjaer,mikel arteta
2020-2021_448,2020-2021,7,TOT,BHA,jose mourinho,graham potter
2020-2021_449,2020-2021,7,FUL,WBA,scott parker,slaven bilic
2020-2021_450,2020-2021,7,LEE,LEI,marcelo bielsa,brendan rodgers
2020-2021_451,2020-2021,8,BHA,BUR,graham potter,sean dyche
2020-2021_452,2020-2021,8,SOU,NEW,ralph hasenhuttl,steve bruce
2020-2021_453,2020-2021,8,EVE,MUN,carlo ancelotti,ole gunnar solskjaer
2020-2021_454,2020-2021,8,CRY,LEE,roy hodgson,marcelo bielsa
2020-2021_455,2020-2021,8,CHE,SHU,frank lampard,chris wilder
2020-2021_456,2020-2021,8,WHU,FUL,david moyes,scott parker
2020-2021_457,2020-2021,8,WBA,TOT,slaven bilic,jose mourinho
2020-2021_458,2020-2021,8,LEI,WOL,brendan rodgers,nuno espirito santo
2020-2021_459,2020-2021,8,MCI,LIV,pep guardiola,jurgen klopp
2020-2021_460,2020-2021,8,ARS,AVL,mikel arteta,dean smith
2020-2021_461,2020-2021,9,NEW,CHE,steve bruce,frank lampard
2020-2021_462,2020-2021,9,AVL,BHA,dean smith,graham potter
2020-2021_463,2020-2021,9,TOT,MCI,jose mourinho,pep guardiola
2020-2021_464,2020-2021,9,MUN,WBA,ole gunnar solskjaer,slaven bilic
2020-2021_465,2020-2021,9,FUL,EVE,scott parker,carlo ancelotti
2020-2021_466,2020-2021,9,SHU,WHU,chris wilder,david moyes
2020-2021_467,2020-2021,9,LEE,ARS,marcelo bielsa,mikel arteta
2020-2021_468,2020-2021,9,LIV,LEI,jurgen klopp,brendan rodgers
2020-2021_469,2020-2021,9,BUR,CRY,sean dyche,roy hodgson
2020-2021_470,2020-2021,9,WOL,SOU,nuno espirito santo,ralph hasenhuttl
2020-2021_471,2020-2021,10,CRY,NEW,roy hodgson,steve bruce
2020-2021_472,2020-2021,10,BHA,LIV,graham potter,jurgen klopp
2020-2021_473,2020-2021,10,MCI,BUR,pep guardiola,sean dyche
2020-2021_474,2020-2021,10,EVE,LEE,carlo ancelotti,marcelo bielsa
2020-2021_475,2020-2021,10,WBA,SHU,slaven bilic,chris wilder
2020-2021_476,2020-2021,10,SOU,MUN,ralph hasenhuttl,ole gunnar solskjaer
2020-2021_477,2020-2021,10,CHE,TOT,frank lampard,jose mourinho
2020-2021_478,2020-2021,10,ARS,WOL,mikel arteta,nuno espirito santo
2020-2021_479,2020-2021,10,LEI,FUL,brendan rodgers,scott parker
2020-2021_480,2020-2021,10,WHU,AVL,david moyes,dean smith
