Season,Round,Team,Player Name,Is Home
2020-2021,1,FUL,marek rodak,1
2020-2021,1,FUL,michael hector,1
2020-2021,1,FUL,denis odoi,1
2020-2021,1,FUL,tim ream,1
2020-2021,1,FUL,joe bryan,1
2020-2021,1,FUL,tom cairney,1
2020-2021,1,FUL,harrison reed,1
2020-2021,1,FUL,josh onomah,1
2020-2021,1,FUL,neeskens kebano,1
2020-2021,1,FUL,ivan cavaleiro,1
2020-2021,1,FUL,aboubakar kamara,1
2020-2021,1,FUL,frank anguissa,1
2020-2021,1,FUL,aleksandar mitrovic,1
2020-2021,1,FUL,bobby de cordova-reid,1
2020-2021,1,FUL,alphonse areola,1
2020-2021,1,FUL,maxime le marchand,1
2020-2021,1,FUL,cyrus christie,1
2020-2021,1,FUL,anthony knockaert,1
2020-2021,1,ARS,bernd leno,0
2020-2021,1,ARS,hector bellerin,0
2020-2021,1,ARS,kieran tierney,0
2020-2021,1,ARS,gabriel magalhaes,0
2020-2021,1,ARS,rob holding,0
2020-2021,1,ARS,ainsley maitland-niles,0
2020-2021,1,ARS,mohamed elneny,0
2020-2021,1,ARS,granit xhaka,0
2020-2021,1,ARS,alexandre lacazette,0
2020-2021,1,ARS,willian,0
2020-2021,1,ARS,pierre-emerick aubameyang,0
2020-2021,1,ARS,dani ceballos,0
2020-2021,1,ARS,nicolas pepe,0
2020-2021,1,ARS,eddie nketiah,0
2020-2021,1,ARS,matt macey,0
2020-2021,1,ARS,sead kolasinac,0
2020-2021,1,ARS,joe willock,0
2020-2021,1,ARS,bukayo saka,0
2020-2021,1,CRY,guaita,1
2020-2021,1,CRY,joel ward,1
2020-2021,1,CRY,scott dann,1
2020-2021,1,CRY,cheikhou kouyate,1
2020-2021,1,CRY,tyrick mitchell,1
2020-2021,1,CRY,jeffrey schlupp,1
2020-2021,1,CRY,james mcarthur,1
2020-2021,1,CRY,james mccarthy,1
2020-2021,1,CRY,jordan ayew,1
2020-2021,1,CRY,andros townsend,1
2020-2021,1,CRY,wilfried zaha,1
2020-2021,1,CRY,luka milivojevic,1
2020-2021,1,CRY,eberechi eze,1
2020-2021,1,CRY,wayne hennessey,1
2020-2021,1,CRY,martin kelly,1
2020-2021,1,CRY,sam woods,1
2020-2021,1,CRY,max meyer,1
2020-2021,1,CRY,michy batshuayi,1
2020-2021,1,SOU,alex mccarthy,0
2020-2021,1,SOU,kyle walker-peters,0
2020-2021,1,SOU,ryan bertrand,0
2020-2021,1,SOU,jack stephens,0
2020-2021,1,SOU,jan bednarek,0
2020-2021,1,SOU,oriol romeu,0
2020-2021,1,SOU,james ward-prowse,0
2020-2021,1,SOU,will smallbone,0
2020-2021,1,SOU,danny ings,0
2020-2021,1,SOU,che adams,0
2020-2021,1,SOU,nathan redmond,0
2020-2021,1,SOU,jannik vestergaard,0
2020-2021,1,SOU,shane long,0
2020-2021,1,SOU,moussa djenepo,0
2020-2021,1,SOU,fraser forster,0
2020-2021,1,SOU,jake vokins,0
2020-2021,1,SOU,michael obafemi,0
2020-2021,1,SOU,nathan tella,0
2020-2021,1,LIV,alisson becker,1
2020-2021,1,LIV,virgil van dijk,1
2020-2021,1,LIV,joe gomez,1
2020-2021,1,LIV,andy robertson,1
2020-2021,1,LIV,trent alexander-arnold,1
2020-2021,1,LIV,georginio wijnaldum,1
2020-2021,1,LIV,naby keita,1
2020-2021,1,LIV,jordan henderson,1
2020-2021,1,LIV,roberto firmino,1
2020-2021,1,LIV,sadio mane,1
2020-2021,1,LIV,mo salah,1
2020-2021,1,LIV,joel matip,1
2020-2021,1,LIV,fabinho,1
2020-2021,1,LIV,curtis jones,1
2020-2021,1,LIV,adrian,1
2020-2021,1,LIV,james milner,1
2020-2021,1,LIV,takumi minamino,1
2020-2021,1,LIV,divock origi,1
2020-2021,1,LEE,illan meslier,0
2020-2021,1,LEE,luke ayling,0
2020-2021,1,LEE,robin koch,0
2020-2021,1,LEE,stuart dallas,0
2020-2021,1,LEE,pascal struijk,0
2020-2021,1,LEE,pablo hernandez,0
2020-2021,1,LEE,jack harrison,0
2020-2021,1,LEE,kalvin phillips,0
2020-2021,1,LEE,mateusz klich,0
2020-2021,1,LEE,patrick bamford,0
2020-2021,1,LEE,helder costa,0
2020-2021,1,LEE,tyler roberts,0
2020-2021,1,LEE,jamie shackleton,0
2020-2021,1,LEE,rodrigo,0
2020-2021,1,LEE,kiko casilla,0
2020-2021,1,LEE,ezgjan alioski,0
2020-2021,1,LEE,oliver casey,0
2020-2021,1,LEE,ian poveda,0
2020-2021,1,WHU,lukasz fabianski,1
2020-2021,1,WHU,aaron cresswell,1
2020-2021,1,WHU,angelo ogbonna,1
2020-2021,1,WHU,issa diop,1
2020-2021,1,WHU,ryan fredericks,1
2020-2021,1,WHU,mark noble,1
2020-2021,1,WHU,pablo fornals,1
2020-2021,1,WHU,tomas soucek,1
2020-2021,1,WHU,declan rice,1
2020-2021,1,WHU,jarrod bowen,1
2020-2021,1,WHU,michail antonio,1
2020-2021,1,WHU,felipe anderson,1
2020-2021,1,WHU,andrey yarmolenko,1
2020-2021,1,WHU,sebastien haller,1
2020-2021,1,WHU,darren randolph,1
2020-2021,1,WHU,fabian balbuena,1
2020-2021,1,WHU,ben johnson,1
2020-2021,1,WHU,manuel lanzini,1
2020-2021,1,NEW,karl darlow,0
2020-2021,1,NEW,jamaal lascelles,0
2020-2021,1,NEW,jamal lewis,0
2020-2021,1,NEW,federico fernandez,0
2020-2021,1,NEW,manquillo,0
2020-2021,1,NEW,jonjo shelvey,0
2020-2021,1,NEW,isaac hayden,0
2020-2021,1,NEW,jeff hendrick,0
2020-2021,1,NEW,andy carroll,0
2020-2021,1,NEW,allan saint-maximin,0
2020-2021,1,NEW,callum wilson,0
2020-2021,1,NEW,miguel almiron,0
2020-2021,1,NEW,sean longstaff,0
2020-2021,1,NEW,joelinton,0
2020-2021,1,NEW,mark gillespie,0
2020-2021,1,NEW,matt ritchie,0
2020-2021,1,NEW,emil krafth,0
2020-2021,1,NEW,ryan fraser,0
2020-2021,1,WBA,sam johnstone,1
2020-2021,1,WBA,darnell furlong,1
2020-2021,1,WBA,kieran gibbs,1
2020-2021,1,WBA,kyle bartley,1
2020-2021,1,WBA,semi ajayi,1
2020-2021,1,WBA,dara o'shea,1
2020-2021,1,WBA,jake livermore,1
