hometeam,awayteam,date,season,round,gf,ga,h_form_gf,h_form_ga,h_form_xg,h_form_xga,h_form_standard sot,h_form_kp,h_form_xa,h_form_poss_x,h_form_touches att pen,h_form_carries prgdist,h_form_progressive passing dist,h_form_tackles tklw,h_form_challenges tkl%,h_form_saves,a_form_gf,a_form_ga,a_form_xg,a_form_xga,a_form_standard sot,a_form_kp,a_form_xa,a_form_poss_x,a_form_touches att pen,a_form_carries prgdist,a_form_progressive passing dist,a_form_tackles tklw,a_form_challenges tkl%,a_form_saves,b365h,b365d,b365a,result_A,result_D,result_H
ARS,WHU,2020-09-19,2020-2021,2,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,4.5,5.5,False,False,True
ARS,SHU,2020-10-04,2020-2021,4,2.0,1.0,0.4186095498720106,-0.3489597436114725,-0.36617329246053537,0.718068503655347,-0.5185201188916846,-0.7823984952517936,1.3124360137390279,0.9389206249428235,0.40655217706407754,1.5743985364235347,0.5076838847434845,-1.278476299089128,0.5364723385161644,-1.0028844346069095,-1.1165290370949554,-0.3489597436114725,-0.6071159138196205,-0.4866446031400783,-1.7283174198103533,-1.6523268152984003,-0.5451092791643665,-1.643243921044282,-1.2081388448902264,-1.0611962759125877,-1.893648158509884,-1.0053120146622765,-0.23467394763270935,-1.0028844346069095,1.57,4.0,6.0,False,False,True
ARS,LEI,2020-10-25,2020-2021,6,0.0,1.0,0.4186095498720106,-0.3489597436114725,-0.6673515691593918,-0.3661732924605357,-0.11525435191879502,-0.7823984952517936,0.3836633672873307,1.0171680354272812,-0.22138322036259617,1.6951853223647886,0.7622584074476773,-1.4150584413025538,-0.27788473090829263,-1.0028844346069095,1.9537481368389766,-0.3489597436114724,1.7420746444314585,-0.9082941905184772,0.08637853156764977,-1.1086216152692712,-0.6379865438095361,-0.3130379428085005,-0.7596135610140309,-0.1532596490058597,-0.5744892681336119,-0.04923701916829656,1.2777034670127108,-0.5003565088218203,1.9,3.75,3.8,True,False,False
ARS,AVL,2020-11-08,2020-2021,8,0.0,3.0,-0.0931033124503114,-0.3489597436114725,-0.727587224499163,-0.5268017066999258,-0.11525435191879502,-0.49242238856959136,0.13599066156687808,0.8345907442968797,-0.22138322036259617,1.745400053598793,0.32747598018681934,-0.8232024917110423,-0.19035519555518768,-1.0028844346069095,0.4186095498720106,-1.1165290370949554,-0.42640894780030686,-0.9082941905184772,0.08637853156764977,-0.12995225521683867,0.4765406319325004,-0.5477801742618736,0.4514047054516971,-0.6051922301118993,-0.5106142060732871,0.6336736918988319,-0.13163284905247186,0.25343537985581344,1.65,4.1,5.0,True,False,False
ARS,WOL,2020-11-29,2020-2021,10,1.0,2.0,-0.3489597436114724,0.034824903130269036,-0.5167624308099636,-0.2758198094508788,-0.3168872354052398,-0.4561753752343161,-0.034284323615933046,0.8019876565950224,-0.13167816358735707,1.6551492528674066,0.04852401833883102,-1.1418941568757024,-0.5820221670402838,-0.7516204717143649,-0.5408520669823431,-0.15706742024060166,-0.7577050521690487,0.23618326093717687,-0.6193365606349069,-0.510545895237229,-0.8701797054224604,-0.1369812692184705,-0.7596135610140308,-0.03925863755568758,0.07629578445201576,-0.32240130359514796,-0.005324405631535689,-0.5003565088218203,2.05,3.4,3.75,True,False,False
ARS,BUR,2020-12-13,2020-2021,12,0.0,1.0,-0.3489597436114724,0.11158183247861735,-0.39026755459644397,-0.12523067110145064,-0.43786696549710663,-0.5214199992378117,0.23505974385505915,0.7354773576832334,0.10155498402826457,1.476140521792672,0.08518274960823481,-1.1145777284330172,-0.7758059104992464,-0.600862093978838,-0.6559874610048656,0.7256372672654038,-0.7516814866350716,-0.004759360421908154,-0.5991732722862625,-0.6519092472448026,-0.693712902596638,-0.7668729236183554,-0.4546163679782179,-1.1361112262941293,-0.7624115521661616,-0.4043505889232034,0.39420914434732046,0.002171416963268902,1.53,4.2,6.25,True,False,False
ARS,SOU,2020-12-16,2020-2021,13,1.0,1.0,-0.6559874610048656,0.11158183247861735,-0.26979624391690143,-0.2697962439169017,-0.19590750531337292,-0.08645583921450832,0.23505974385505915,0.7824258039739079,0.24508307486864708,1.2144810574165628,0.21478432480309664,-1.1145777284330172,-0.7611807223136642,-0.5003565088218203,0.5721234085687071,0.11158183247861737,-0.34207903032462705,0.13980621239354288,-0.5185201188916845,-0.6084128312424724,-0.5451092791643665,-0.09394519345201875,-0.7775545723690787,-0.5509060341832458,-0.9360776629272765,0.03271226615975883,-0.7239529705685464,0.7057105130623936,2.25,3.5,3.1,False,True,False
ARS,CHE,2020-12-26,2020-2021,15,3.0,1.0,-0.8095013197015624,0.11158183247861735,-0.26979624391690143,-0.028853622557816677,-0.2765606587079508,0.0005369927901523574,0.12360702628085551,0.3442403052609446,0.2630240862236949,0.7134194689950917,-0.10033264802783885,-1.0053120146622765,-0.6481679045159845,-0.39985092366480246,-0.19544588491477582,-0.6559874610048657,-0.6553044380914376,-0.9444355837223398,-0.19590750531337292,-0.21694508722149924,-0.5079583733062986,0.9076216607490404,-0.006091084102022348,0.7443626006744242,0.8661248127109881,-0.40435058892320336,-0.7664989725629671,-0.5003565088218203,4.0,3.6,1.9,False,False,True
ARS,CRY,2021-01-14,2020-2021,18,0.0,0.0,-0.3489597436114725,0.11158183247861735,0.043429163849909136,0.42893735802444494,-0.115254351918795,-0.17344867121916896,0.04930521456471974,0.09384859171067986,0.2989061089337906,0.13527148235493308,-0.17513127142601626,-1.2238434422037578,-0.5032455852224894,-0.39985092366480246,-0.19544588491477585,0.11158183247861735,-0.2938905060528099,0.18799473666535996,-0.03460119852421706,0.17452265679947368,0.1979088379969912,0.28164237687337845,0.011849927253025489,0.19064340220215953,-0.02923692677808603,-0.4043505889232035,-0.5072342729094663,0.10267700212028666,1.53,4.0,6.5,False,True,False
ARS,NEW,2021-01-18,2020-2021,19,3.0,0.0,-0.3489597436114724,-0.3489597436114725,-0.22160771964508447,0.1879947366653599,0.04605195487036079,-0.2169450872214993,0.0864561204227876,0.21904444848581223,0.2809650975787428,0.3279874779016526,0.17220095009621347,-0.896046300891536,-0.19345750820061433,-0.5003565088218203,-0.5024736023081691,0.4186095498720106,-0.727587224499163,0.5012201444321704,-0.2765606587079508,-0.8693913272564544,-0.9537692436031133,-1.1737594581375357,-1.136374799470035,-1.1741115634441868,-0.8831261622048043,-0.8414134440061657,-0.5949854020229589,0.5046993427483579,1.4,4.5,8.0,False,False,True
