team_name,overall_rating,attack_rating,midfield_rating,defence_rating,avg_age
Liverpool,85,86,83,80,25.91
Manchester City,85,85,86,83,25.27
Chelsea,82,82,84,82,26.00
Manchester United,82,83,82,82,24.45
Tottenham Hotspur,82,89,82,81,26.82
Arsenal,80,83,79,79,24.73
Leicester City,80,80,81,79,25.73
Everton,79,81,79,80,26.82
Wolverhampton Wanderers,79,77,81,78,25.45
West Ham United,78,79,79,77,27.73
Aston Villa,77,77,77,77,24.18
Burnley,76,75,76,77,27.36
Crystal Palace,76,77,75,75,28.55
Leeds United,76,78,76,75,25.09
Newcastle United,76,77,75,74,26.91
Southampton,76,77,77,76,26.09
Brighton & Hove Albion,75,75,76,76,25.64
Fulham,75,74,75,74,24.45
Sheffield United,73,71,74,73,26.64
West Bromwich Albion,73,74,74,72,25.64
