Season,Round,Team,Player Name,Is Home
2019-2020,1,Liverpool FC, Alisson Becker,1
2019-2020,1,Liverpool FC,Virgil van Dijk,1
2019-2020,1,Liverpool FC,Joe Gomez,1
2019-2020,1,Liverpool FC,Andy Robertson,1
2019-2020,1,Liverpool FC,Trent Alexander-Arnold,1
2019-2020,1,Liverpool FC, Fabinho,1
2019-2020,1,Liverpool FC,Georginio Wijnaldum,1
2019-2020,1,Liverpool FC,Jordan Henderson,1
2019-2020,1,Liverpool FC, Roberto Firmino,1
2019-2020,1,Liverpool FC,Mo Salah,1
2019-2020,1,Liverpool FC,Divock Origi,1
2019-2020,1,Liverpool FC, Adrián,1
2019-2020,1,Liverpool FC,James Milner,1
2019-2020,1,Liverpool FC,Sadio Mané,1
2019-2020,1,Liverpool FC,Joel Matip,1
2019-2020,1,Liverpool FC,Naby Keïta,1
2019-2020,1,Liverpool FC,Alex Oxlade-Chamberlain,1
2019-2020,1,Liverpool FC,Xherdan Shaqiri,1
2019-2020,1,Norwich City,Tim Krul,0
2019-2020,1,Norwich City,Max Aarons,0
2019-2020,1,Norwich City,Ben Godfrey,0
2019-2020,1,Norwich City,Grant Hanley,0
2019-2020,1,Norwich City,Jamal Lewis,0
2019-2020,1,Norwich City,Todd Cantwell,0
2019-2020,1,Norwich City,Marco Stiepermann,0
2019-2020,1,Norwich City,Tom Trybull,0
2019-2020,1,Norwich City,Kenny McLean,0
2019-2020,1,Norwich City,Emiliano Buendia,0
2019-2020,1,Norwich City,Teemu Pukki,0
2019-2020,1,Norwich City,Moritz Leitner,0
2019-2020,1,Norwich City,Onel Hernández,0
2019-2020,1,Norwich City,Josip Drmić,0
2019-2020,1,Norwich City,Ralf Fährmann,0
2019-2020,1,Norwich City,Sam Byram,0
2019-2020,1,Norwich City,Mario Vrančić,0
2019-2020,1,Norwich City,Patrick Roberts,0
2019-2020,1,West Ham United,Łukasz Fabiański,1
2019-2020,1,West Ham United,Aaron Cresswell,1
